,keywords,number_of_times_word_appeared,tf,idf,tf_idf
242,in,291,0.016177451634422947,-5.673323267171493,-0.0917799127611132
184,he,184,0.010229041583277742,-5.214935757608986,-0.05334379471870433
899,on,177,0.009839893262174782,-5.176149732573829,-0.05093276087756102
401,an,150,0.008338892595063376,-5.0106352940962555,-0.04178314955050247
23,to,147,0.008172114743162108,-4.990432586778736,-0.040782387717171124
781,the,134,0.007449410718256616,-4.897839799950911,-0.03648602030205816
673,at,129,0.007171447631754503,-4.859812404361672,-0.03485189015803067
345,it,127,0.007060262397153658,-4.844187086458591,-0.03420123193130093
502,or,109,0.006059595285746053,-4.6913478822291435,-0.028427669510950444
373,is,101,0.005614854347342673,-4.61512051684126,-0.02591322949749651
487,of,87,0.004836557705136758,-4.465908118654584,-0.02159962232171163
501,as,84,0.004669779853235491,-4.430816798843313,-0.020690939020615876
408,ve,77,0.0042806315321325325,-4.343805421853684,-0.018594230458235137
918,and,50,0.002779630865021125,-3.912023005428146,-0.010873979890560779
517,com,50,0.002779630865021125,-3.912023005428146,-0.010873979890560779
895,block,49,0.0027240382477207027,-3.891820298110627,-0.010601467345309135
297,chain,48,0.00266844563042028,-3.871201010907891,-0.010330089422035733
628,us,46,0.0025572603958194354,-3.828641396489095,-0.00979083301303638
716,be,42,0.0023348899266177454,-3.7376696182833684,-0.00872704714075503
278,ter,39,0.0021681120747164776,-3.6635616461296463,-0.00794301224144186
485,coin,37,0.0020569268401156326,-3.6109179126442243,-0.007427393971972221
714,no,36,0.0020013342228152103,-3.58351893845611,-0.007171819089638647
235,for,35,0.0019457416055147876,-3.5553480614894135,-0.0069177886453263
863,are,35,0.0019457416055147876,-3.5553480614894135,-0.0069177886453263
149,http,32,0.00177896375361352,-3.4657359027997265,-0.006165418550677744
764,that,31,0.0017233711363130975,-3.4339872044851463,-0.005918034430678204
608,https,31,0.0017233711363130975,-3.4339872044851463,-0.005918034430678204
165,all,31,0.0017233711363130975,-3.4339872044851463,-0.005918034430678204
881,her,30,0.001667778519012675,-3.4011973816621555,-0.005672443932058298
30,if,30,0.001667778519012675,-3.4011973816621555,-0.005672443932058298
937,transaction,28,0.00155659328441183,-3.332204510175204,-0.005186887162825534
829,The,27,0.0015010006671114075,-3.295836866004329,-0.004947053334562869
305,IN,27,0.0015010006671114075,-3.295836866004329,-0.004947053334562869
602,blockchain,25,0.0013898154325105625,-3.2188758248682006,-0.004473643296736992
260,has,23,0.0012786301979097177,-3.1354942159291497,-0.004009137589858264
883,crypto,22,0.0012230375806092952,-3.0910424533583156,-0.0037804610837159744
885,value,21,0.0011674449633088727,-3.044522437723423,-0.003554312385601061
756,dam,21,0.0011674449633088727,-3.044522437723423,-0.003554312385601061
